Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (10 min)
E39 Stordabrua;SN48070;26.01.2022 13:00;9,2
E39 Stordabrua;SN48070;26.01.2022 13:10;9,2
E39 Stordabrua;SN48070;26.01.2022 13:20;11,1
E39 Stordabrua;SN48070;26.01.2022 13:30;11,1
E39 Stordabrua;SN48070;26.01.2022 13:40;10,4
E39 Stordabrua;SN48070;26.01.2022 13:50;10,4
E39 Stordabrua;SN48070;26.01.2022 14:00;10,7
E39 Stordabrua;SN48070;26.01.2022 14:10;10,7
E39 Stordabrua;SN48070;26.01.2022 14:20;11,6
E39 Stordabrua;SN48070;26.01.2022 14:30;11,6
E39 Stordabrua;SN48070;26.01.2022 14:40;7,4
E39 Stordabrua;SN48070;26.01.2022 14:50;13,4
E39 Stordabrua;SN48070;26.01.2022 15:00;13,4
E39 Stordabrua;SN48070;26.01.2022 15:10;10,6
E39 Stordabrua;SN48070;26.01.2022 15:20;10,1
E39 Stordabrua;SN48070;26.01.2022 15:30;9,2
E39 Stordabrua;SN48070;26.01.2022 15:40;9,6
E39 Stordabrua;SN48070;26.01.2022 15:50;9,7
E39 Stordabrua;SN48070;26.01.2022 16:00;7
E39 Stordabrua;SN48070;26.01.2022 16:10;7,1
E39 Stordabrua;SN48070;26.01.2022 16:20;7,4
E39 Stordabrua;SN48070;26.01.2022 16:30;7,4
E39 Stordabrua;SN48070;26.01.2022 16:40;5,2
E39 Stordabrua;SN48070;26.01.2022 16:50;5,3
E39 Stordabrua;SN48070;26.01.2022 17:00;5,3
E39 Stordabrua;SN48070;26.01.2022 17:10;4,1
E39 Stordabrua;SN48070;26.01.2022 17:20;4,5
E39 Stordabrua;SN48070;26.01.2022 17:30;4,5
E39 Stordabrua;SN48070;26.01.2022 17:40;4,3
E39 Stordabrua;SN48070;26.01.2022 17:50;5,4
E39 Stordabrua;SN48070;26.01.2022 18:00;5,4
E39 Stordabrua;SN48070;26.01.2022 18:10;6,1
E39 Stordabrua;SN48070;26.01.2022 18:20;6,1
E39 Stordabrua;SN48070;26.01.2022 18:30;7,2
E39 Stordabrua;SN48070;26.01.2022 18:40;7,7
E39 Stordabrua;SN48070;26.01.2022 18:50;8,3
E39 Stordabrua;SN48070;26.01.2022 19:00;8,3
E39 Stordabrua;SN48070;26.01.2022 19:10;7,8
E39 Stordabrua;SN48070;26.01.2022 19:20;7,8
E39 Stordabrua;SN48070;26.01.2022 19:30;9,1
E39 Stordabrua;SN48070;26.01.2022 19:40;9,1
E39 Stordabrua;SN48070;26.01.2022 19:50;8,5
E39 Stordabrua;SN48070;26.01.2022 20:00;8,9
E39 Stordabrua;SN48070;26.01.2022 20:10;10,2
E39 Stordabrua;SN48070;26.01.2022 20:20;13,8
E39 Stordabrua;SN48070;26.01.2022 20:30;13,8
E39 Stordabrua;SN48070;26.01.2022 20:40;11,9
E39 Stordabrua;SN48070;26.01.2022 20:50;14
E39 Stordabrua;SN48070;26.01.2022 21:00;14
E39 Stordabrua;SN48070;26.01.2022 21:10;11,6
E39 Stordabrua;SN48070;26.01.2022 21:20;12,9
E39 Stordabrua;SN48070;26.01.2022 21:30;12,9
E39 Stordabrua;SN48070;26.01.2022 21:40;11,9
E39 Stordabrua;SN48070;26.01.2022 21:50;9,9
E39 Stordabrua;SN48070;26.01.2022 22:00;8,8
E39 Stordabrua;SN48070;26.01.2022 22:10;8
E39 Stordabrua;SN48070;26.01.2022 22:20;7,5
E39 Stordabrua;SN48070;26.01.2022 22:30;9
E39 Stordabrua;SN48070;26.01.2022 22:40;9
E39 Stordabrua;SN48070;26.01.2022 22:50;7
E39 Stordabrua;SN48070;26.01.2022 23:00;10,8
E39 Stordabrua;SN48070;26.01.2022 23:10;10,8
E39 Stordabrua;SN48070;26.01.2022 23:20;11,5
E39 Stordabrua;SN48070;26.01.2022 23:30;14,6
E39 Stordabrua;SN48070;26.01.2022 23:40;14,6
E39 Stordabrua;SN48070;26.01.2022 23:50;13,6
E39 Stordabrua;SN48070;27.01.2022 00:00;13,6
E39 Stordabrua;SN48070;27.01.2022 00:10;13,9
E39 Stordabrua;SN48070;27.01.2022 00:20;15,1
E39 Stordabrua;SN48070;27.01.2022 00:30;14,2
E39 Stordabrua;SN48070;27.01.2022 00:40;14,2
E39 Stordabrua;SN48070;27.01.2022 00:50;13
E39 Stordabrua;SN48070;27.01.2022 01:00;13,5
E39 Stordabrua;SN48070;27.01.2022 01:10;13,5
E39 Stordabrua;SN48070;27.01.2022 01:20;13,4
E39 Stordabrua;SN48070;27.01.2022 01:30;13,4
E39 Stordabrua;SN48070;27.01.2022 01:40;11,7
E39 Stordabrua;SN48070;27.01.2022 01:50;11,3
E39 Stordabrua;SN48070;27.01.2022 02:00;13,2
E39 Stordabrua;SN48070;27.01.2022 02:10;15,2
E39 Stordabrua;SN48070;27.01.2022 02:20;15,6
E39 Stordabrua;SN48070;27.01.2022 02:30;15,6
E39 Stordabrua;SN48070;27.01.2022 02:40;14
E39 Stordabrua;SN48070;27.01.2022 02:50;14
E39 Stordabrua;SN48070;27.01.2022 03:00;13,1
E39 Stordabrua;SN48070;27.01.2022 03:10;16,9
E39 Stordabrua;SN48070;27.01.2022 03:20;16,9
E39 Stordabrua;SN48070;27.01.2022 03:30;12,7
E39 Stordabrua;SN48070;27.01.2022 03:40;11,5
E39 Stordabrua;SN48070;27.01.2022 03:50;10,8
E39 Stordabrua;SN48070;27.01.2022 04:00;10
E39 Stordabrua;SN48070;27.01.2022 04:10;12,3
E39 Stordabrua;SN48070;27.01.2022 04:20;16
E39 Stordabrua;SN48070;27.01.2022 04:30;16
E39 Stordabrua;SN48070;27.01.2022 04:40;14
E39 Stordabrua;SN48070;27.01.2022 04:50;11,8
E39 Stordabrua;SN48070;27.01.2022 05:00;11,8
E39 Stordabrua;SN48070;27.01.2022 05:10;12,3
